,tweet
0,"Komisi X: Jangan ‘Paper Works Saja, Tindaklanjuti Temuan TGIPF Tragedi Kanjuruhan  https://t.co/MC9QA82IgD  https://t.co/h8C1tqbvhf"
1,@Indosiar Kapan klarifikasi ttg jam tayang di kanjuruhan???
2,"@ListyoSigitP Melintas di TL saya mas, Kanjuruhan, pas tepat di atas akunnya. Polda Jatim Diam terkait rekaman Cctv. Saran saya fokus selesaikan Kanjuruhan dulu. Karena lebih cepat, efektif dan murah. Kalau IKN dll, sdh banyak yg ngurus."
3,FIFA akan memperbaiki sepak bola Indonesia pasca-tragedi Kanjuruhan.  https://t.co/ebkufCe7Tw
4,TGIPF: Rekaman CCTV Berdurasi 3 Jam Lebih di Lobi Utama Stadion Kanjuruhan Dihapus  https://t.co/RbGpUTFC1D
5,"TGIPF menemukan ada rekaman CCTV di lobi utama &amp; area parkir Stadion Kanjuruhan yg dihapus. CCTV merekam pergerakan rangkaian Barracuda yg akan evakuasi Tim Persebaya. Tp CCTV hanya memperlihatkan rekaman durasi 1 jam 21 menit,Durasi 3 jam 21 mnt berikutnya hilang. #BeritaSonora  https://t.co/bsu87cLqOe"
6,@Indosiar Kaku amat min....giliran ke korban Kanjuruhan saling  ping-pong 🥶🤦‍♂️
7,Biddokes Polda Jatim Gelar Self Healing Trauma untuk Korban Kanjuruhan di Blitar  https://t.co/0kf9OOpDgZ
8,"Klo sehat sejak awal gk akan terkotak2 macem nie,dr baju kotak,kotak kardus digembok,kotak dawet kanjuruhan smua berefect negatif,aura hitam itu mengelilingi baik junjungn jg jinjingn😡ya sabar dan doa trs kt lazimkn biar sirna bala dursana kurawa..."
9,Polda Jatim Periksa Iwan Bule soal Tragedi Kanjuruhan Hari Ini  https://t.co/AlwywSLCs9
10,Jokowi to meet FIFA President today to discuss Kanjuruhan tragedy  https://t.co/SUWz2D6Eu9
11,"Ini Beberapa Pihak Baru yang Dipanggil Terkait Tragedi Kanjuruhan, dari Ketum PSSI hingga Pihak Arema FC  https://t.co/Oljg0NGUrd"
12,Mengapa PSSI Pantas Disalahkan dalam Tragedi Kanjuruhan (2)  https://t.co/V3yGXK8Ckd
13,"@HabisNontonFilm Next ""sambo story"" or ""Kanjuruhan killing Field"""
14,Tragedi Kanjuruhan masih menyisakan duka dan misteri. Duka bagi suporter yang jadi korban dan masih misteri kenapa polisi harus menembakkan gas air mata.  via @detik_jatim  https://t.co/HXP2HwgnNZ
15,"Pihak kepolisian terus memeriksa sejumlah saksi dalam kasus tragedi maut di Stadion Kanjuruhan, Kepanjen, Kabupaten Malang, Sabtu 1 Oktober 2022.  https://t.co/68eb1jPuiP"
16,@ahmadherry62 @DivHumas_Polri @Pencerah___ @Leonita_Lestari @S4N_W1B1 @denni_sauya @triwul82 Usut tuntas tragedi kanjuruhan
17,Mau namanya tim khusus pengusut Kanjuruhan ...  Tanpa tim khusus pun. Sudah nampak jelas .. siapa yg jahat dan berbagai unsur sengaja nya.   Cuma mau buka mata dan nurani apa ga ??   Kecuali syahwat kekuasaan yg mendominasi
18,"Yth pak @ListyoSigitP kami menunggu ketegasan anda terhadap anak buah anda yg suka berbuat melampaui kewenangannya.  Kami sarankan kasus Kanjuruhan di tarik ke mabes saja. Kalau tetap di Polda Jatim, sy haqul yakin gk akan selesai. @AremafcOfficial @mohmahfudmd"
19,"Arema FC akan kembali berlatih pada tengah pekan ini. Sebelumnya, skuad Singo Edan diliburkan menyusul Tragedi Kanjuruhan yang menewaskan 132 orang.  https://t.co/oB2QISDtUf"
20,"Rencana pemeriksaan terhadap Ketua Umum Persatuan Sepakbola Seluruh Indonesia (PSSI), Mochamad Iriawan alias Iwan Bule di Polda Jatim, sebagai saksi kasus Tragedi Kanjuruhan ditunda.  https://t.co/v6VeJLhp2q"
21,Polda Jatim Bungkam soal Rekaman CCTV Kanjuruhan Hilang  https://t.co/LaqAq8pBWq
22,Upaya pemantauan dan pemeriksaan kesehatan korban Kanjuruhan yang tinggal di luar Malang Raya terus dilakukan Tim Biddokes Polda Jatim. Di antaranya korban Kanjuruhan.  Selengkapnya baca di  https://t.co/mMgGz8QNzm  ⁦@DivHumas_Polri⁩   #bidhumaspoldaaceh  https://t.co/E19XtXEaRE
23,@andikprast25 @abangjun @dinata8831 @CerishIva @Arie_Kriting Emang harusnya aparat yang aneh itu dipecat aja soalnya ga waras. Orang aneh jadi aparat menimbulkan bencana.  Iya benar. Aparat di Kanjuruhan aneh. Aparat di Sidoarjo waras. Paham?
24,@andikprast25 @abangjun @dinata8831 @CerishIva @Arie_Kriting Dih GOBLOK. Aparat di Sidoarjo ga aneh blok. Jadi cuma aparat di Kanjuruhan yang aneh dan goblok kek elu ini.
25,CCTV KANJURUHAN PIYE..?   https://t.co/iiqXCcFXSP
26,Gubernur Khofifah meminta Komisi Nasional Hak Asasi Manusia (Komnas HAM) menelusuri informasi yang menyebut korban tragedi Kanjuruhan Malang   https://t.co/6i4vspCh7J
27,"Pada laga Liverpool vs City kemarin, teman-teman dr @BIGREDS_IOLSC membawa pesan keadilan ke Anfield sebagai bentuk support untuk para korban Tragedi Kanjuruhan.  Rispek. Mas @airwinsaleh dkk. 🙏🙌  #poroshalangid | 📸: @febriansyah  https://t.co/M1SFb5GHWv"
28,Ketidak terlihatan pengurus @PSSI di Istana Merdeka saat Presiden @FIFAcom dengan Presiden @jokowi ini menarik. Yang tadi terlihat ada Menteri BUMN Erick Thohir dan Menpora Zainudin Amali. #fifa #kanjuruhan
29,Polda Jatim menggelar doa bersama untuk seluruh korban tragedi kanjuruhan kabupaten Malang.  #PengabdianKepadaRakyat
