,Unnamed: 0,tweet
0,0,"['komisi', 'paper', 'works', 'tindaklanjuti', 'temu', 'tgipf', 'tragedi', 'kanjuruhan']"
1,1,"['klarifikasi', 'ttg', 'jam', 'tayang', 'kanjuruhan']"
2,2,"['lintas', 'tl', 'mas', 'kanjuruhan', 'pas', 'akun', 'polda', 'jatim', 'diam', 'kait', 'rekam', 'cctv', 'saran', 'fokus', 'selesai', 'kanjuruhan', 'cepat', 'efektif', 'murah', 'ikn', 'dll', 'sdh', 'yg', 'ngurus']"
3,3,"['fifa', 'baik', 'sepak', 'bola', 'indonesia', 'pascatragedi', 'kanjuruhan']"
4,4,"['tgipf', 'rekam', 'cctv', 'durasi', 'jam', 'lobi', 'utama', 'stadion', 'kanjuruhan', 'hapus']"
5,5,"['tgipf', 'temu', 'rekam', 'cctv', 'lobi', 'utama', 'amp', 'area', 'parkir', 'stadion', 'kanjuruhan', 'yg', 'hapus', 'cctv', 'rekam', 'gera', 'rangkai', 'barracuda', 'yg', 'evakuasi', 'tim', 'baya', 'tp', 'cctv', 'rekam', 'durasi', 'jam', 'menitdurasi', 'jam', 'mnt', 'hilang']"
6,6,"['kaku', 'mingiliran', 'korban', 'kanjuruhan', 'pingpong']"
7,7,"['biddokes', 'polda', 'jatim', 'gelar', 'self', 'healing', 'trauma', 'korban', 'kanjuruhan', 'blitar']"
8,8,"['klo', 'sehat', 'gk', 'kotak', 'macem', 'niedr', 'baju', 'kotakkotak', 'kardus', 'digembokkotak', 'dawet', 'kanjuruhan', 'smua', 'berefect', 'negatifaura', 'hitam', 'keliling', 'junjungn', 'jg', 'jinjing', 'sabar', 'doa', 'trs', 'kt', 'lazimkn', 'biar', 'sirna', 'bala', 'dursana', 'rawa']"
9,9,"['polda', 'jatim', 'periksa', 'iwan', 'bule', 'tragedi', 'kanjuruhan']"
10,10,"['jokowi', 'to', 'meet', 'fifa', 'president', 'today', 'to', 'discuss', 'kanjuruhantragedy']"
11,11,"['panggil', 'kait', 'tragedi', 'kanjuruhan', 'tum', 'pssi', 'arema', 'fc']"
12,12,"['pssi', 'salah', 'tragedi', 'kanjuruhan']"
13,13,"['next', 'sambo', 'story', 'or', 'kanjuruhan', 'killing', 'field']"
14,14,"['tragedi', 'kanjuruhan', 'sisa', 'duka', 'misteri', 'duka', 'suporter', 'korban', 'misteri', 'polisi', 'tembak', 'gas', 'air', 'mata', 'via', 'jatim']"
15,15,"['polisi', 'periksa', 'saksi', 'tragedi', 'maut', 'stadion', 'kanjuruhan', 'kepanjen', 'kabupaten', 'malang', 'sabtu', 'oktober']"
16,16,"['polri', 'lestari', 'wb', 'sauya', 'usut', 'tuntas', 'tragedi', 'kanjuruhan']"
17,17,"['nama', 'tim', 'khusus', 'usut', 'kanjuruhan', 'tim', 'khusus', 'nampak', 'yg', 'jahat', 'unsur', 'sengaja', 'nya', 'buka', 'mata', 'nurani', 'ga', 'kecuali', 'syahwat', 'kuasa', 'yg', 'dominasi']"
18,18,"['yth', 'tunggu', 'tegas', 'anak', 'buah', 'yg', 'suka', 'buat', 'lampau', 'wenang', 'saran', 'kanjuruhan', 'tarik', 'mabes', 'polda', 'jatim', 'sy', 'haqul', 'gk', 'selesai']"
19,19,"['arema', 'fc', 'latih', 'pekan', 'skuad', 'singo', 'edan', 'libur', 'susul', 'tragedi', 'kanjuruhan', 'tewas', 'orang']"
